isco08,t_1A1f1,t_1A2a2,t_2B1a,t_4A2a4,t_4A2b2,t_4A3a3,t_4A3a4,t_4A4a1,t_4A4a4,t_4A4b4,t_4A4b5,t_4C2d1g,t_4C2d1i,t_4C3b4,t_4C3b7,t_4C3d3,t_4C3b8_rev,t_4C1a2l_rev,t_4A4a5_rev,t_4A4a8_rev,t_4A1b2_rev,t_4A3a2_rev,t_4A3b4_rev,t_4A3b5_rev
1112,1.561666666666667,1.373333333333333,3.916666666666667,3.898333333333333,3.806666666666667,1.97,2.206666666666667,3.931666666666667,4.376666666666667,4.258333333333334,3.903333333333334,2.175,2.33,3.846666666666666,3.028333333333334,1.37,1.4433333,1.1933333,3.2149999,2.3533332,3.1866667,4.0233335,4.3649998,4.3816667
1113,1.185,1,4,4.105,4.18,1.38,1.42,4.075,4.390000000000001,4.225,3.78,1.815,2.27,3.79,2.735,1.39,1.3299999,1.13,3.7950001,2.9499998,3.6300001,4.52,4.835,4.8050003
1114,1.416666666666667,1.51,3.75,3.848333333333333,3.4575,2.370833333333333,2.37,3.6775,4.0525,3.82,3.635,2.319166666666667,2.413333333333333,4.079166666666667,3.331666666666666,1.488333333333333,1.4225,1.2258333,3.2766666,2.5975001,2.7258334,3.7674999,3.9533334,4.1141667
1120,1.3425,1.25,4,3.9075,3.75,2.035,1.91,3.7975,4.165,4.1875,3.855,2.1175,2.355,3.89,3.1625,1.495,1.265,1.0899999,3.4275,2.55,3.0999999,4.0149999,4.2975001,4.4324999
1211,1,1.166666666666667,3.29,4.399999999999999,3.603333333333333,1.4,1.13,3.533333333333333,4.026666666666667,3.56,3.673333333333333,2.193333333333333,2.5,4.513333333333334,3.356666666666667,1.18,1.64,1.11,3.77,3.5699999,4.2433333,4.6866665,4.9899998,4.8833332
1212,1,1.46,3.753333333333333,4.053333333333334,3.666666666666667,1.54,1.41,4.073333333333333,4.616666666666666,4.153333333333333,4.166666666666667,2.543333333333333,2.553333333333333,4.02,2.793333333333333,1.113333333333333,1.5033333,1.2566667,3.0033333,3.5933332,4.1999998,4.2666664,4.8699999,4.813333
1213,1.333333333333333,1.52,3.5,3.986666666666666,3.595,2.051666666666666,2.34,3.835,4.165,3.49,3.34,2.218333333333333,2.386666666666667,4.168333333333334,3.073333333333333,1.376666666666667,1.645,1.4016666,3.4933333,3.0450001,2.8816667,4.0250001,4.1466665,4.1683335
1219,1.111111111111111,1.173333333333334,3.833333333333333,3.948888888888889,3.478333333333333,2.150555555555556,2.166666666666667,3.698333333333334,4.185,3.86,3.736666666666667,1.989444444444445,2.392222222222222,4.209444444444444,3.441111111111111,1.805555555555556,1.965,1.2905556,3.3044443,2.9949999,3.1205556,3.9483333,4.3288889,4.4327779
1221,1.25,1.25,3.88,3.83,4.32,1.36,1.935,3.5,4.515,3.99,3.83,1.915,2.17,3.77,2.685,1.055,1.64,1.46,3.52,2.7449999,4.21,4.5749998,4.7150002,4.665
1222,1,1.38,4,3.26,4.05,1.85,1.82,3.01,4.01,2.98,2.62,2.07,2.5,4.3,2.7,1,1.77,1.13,3.6300001,2.8199999,4.23,3.9200001,4.79,4.6599998
1223,1.185,1.615,3.241666666666666,4.161666666666666,3.929166666666666,2.3225,1.8425,3.76,3.951666666666666,3.645,3.2875,2.490833333333334,2.285,4.098333333333334,2.798333333333333,1.460833333333333,1.5616667,1.2391667,3.355,3.4300001,2.9616668,4.1208334,4.2224998,3.9641666
1311,2,2.88,3.33,3.7,3.9,3.45,3.68,3.36,3.78,3.58,3.42,3.14,2.57,3.49,3.06,2.21,1.47,1.17,3.3,3.0799999,2.26,2.53,2.8,3.22
1312,2,2.88,3.33,3.7,3.9,3.45,3.68,3.36,3.78,3.58,3.42,3.14,2.57,3.49,3.06,2.21,1.47,1.17,3.3,3.0799999,2.26,2.53,2.8,3.22
1321,1.581666666666667,2.293333333333333,3.355,3.843333333333333,3.568333333333333,3.041666666666667,2.486666666666667,3.411666666666667,3.863333333333333,4.013333333333334,3.766666666666666,2.451666666666667,2.261666666666666,4.323333333333333,3.535,2.870000000000001,1.5916667,1.1,3.3433332,4.0416665,2.2750001,3.7066667,3.0050001,3.2616668
1322,1.333333333333333,1.52,3.5,3.986666666666666,3.595,2.051666666666666,2.34,3.835,4.165,3.49,3.34,2.218333333333333,2.386666666666667,4.168333333333334,3.073333333333333,1.376666666666667,1.645,1.4016666,3.4933333,3.0450001,2.8816667,4.0250001,4.1466665,4.1683335
1323,2,1.12,3.38,3.95,3.35,2.1,2.4,3.55,4.05,3.8,3.45,2.05,1.85,3.85,2.95,1.7,1.75,1.2,3.2,3.3,1.95,3.8,4.1500001,4.4400001
1324,1.295,1.395,3.52,3.975,3.785,2.11,2.385,3.47,4.17,4.055,3.87,2.32,2.425,4.04,2.975,1.825,1.9,1.155,3.52,3.49,3.0250001,3.7449999,4.1599998,4.2749996
1330,1.12,2.12,3.62,4.25,3.58,1.98,1.63,3.56,3.9,3.98,3.76,2.94,3.61,4.04,3.88,1.28,1.25,1.37,3.6199999,4.1900001,3.04,4.3499999,4.52,4.0100002
1341,1,1.88,3.88,2.63,3.76,1.56,1.77,3.13,4.33,4.08,3.98,2.73,2.8,4.05,3.68,1.19,1.5599999,1.12,1.72,1.9,2.6199999,3.3499999,4.79,4.5500002
1342,1,1.62,3.88,4.16,3.52,1.96,1.27,4.12,4.38,4.31,4.19,2.72,3.54,4.5,4.08,1.6,1.88,1.08,3.0799999,3.1199999,3.6900001,4.1199999,4.8499999,4.77
1343,1.25,1.56,3.94,3.935,3.42,2.325,1.835,3.82,4.16,4.23,4.06,2.57,2.99,4.245,3.835,1.6,1.54,1.0650001,3.0699999,2.635,3.1300001,3.8150001,4.3049998,4.415
1344,1,1.5,4,3.48,3.87,1.64,2.18,3.46,4.13,3.74,3.32,2.54,2.05,4.2,3.43,1.18,1.63,1.12,1.99,2.3599999,3.49,4.0799999,4.8099999,4.6999998
1345,1,1.06,4,4.3,4.055,1.555,1.46,3.975,4.565,4.175,4.165,2.065,2.15,4.135,2.675,1.005,1.47,1.22,2.5599999,2.6700001,3.5300002,4.3649998,4.7449999,4.6199999
1346,1.25,1.333333333333333,3.645,4.055,3.461666666666667,2.045,1.765,3.526666666666666,3.983333333333333,3.855,3.801666666666667,2.306666666666667,2.47,4.251666666666667,3.473333333333334,1.39,1.4200001,1.0799999,3.415,2.8600001,3.4066668,4.0983334,4.375,4.4716663
1349,1.333333333333333,1.52,3.5,3.986666666666666,3.595,2.051666666666666,2.34,3.835,4.165,3.49,3.34,2.218333333333333,2.386666666666667,4.168333333333334,3.073333333333333,1.376666666666667,1.645,1.4016666,3.4933333,3.0450001,2.8816667,4.0250001,4.1466665,4.1683335
1411,2.12,2,4,3.48,3.98,2.53,2.53,3.07,4.14,3.85,4.02,1.76,2.52,4.14,4.14,1.8,1.34,1.17,2.28,1.84,2.8800001,3.3399999,3.9100001,4.1199999
1412,1,3,3.62,2.86,2.5,2.71,1.65,2.56,3.28,3,3.29,3.52,4.11,4.29,3.95,1.78,1.84,1.21,3.02,2.01,2.9300001,2.8599999,3.8399999,4.04
1420,1.5,1.5,4,3.71,3.32,2.69,2.4,3.52,3.94,4.15,3.93,2.42,2.44,3.99,3.59,1.6,1.2,1.05,3.0599999,2.1500001,2.5699999,3.51,3.76,4.0599999
1431,1.291666666666667,1.7,3.69,3.793333333333333,3.4025,2.040833333333333,1.975,3.4875,4.1375,3.855,3.79,2.179166666666667,2.493333333333333,4.284166666666668,3.336666666666666,1.438333333333333,1.5775,1.2308333,3.3516667,2.4375,2.8808334,3.8325,3.9433331,4.1241665
1439,1.333333333333333,1.52,3.5,3.986666666666666,3.595,2.051666666666666,2.34,3.835,4.165,3.49,3.34,2.218333333333333,2.386666666666667,4.168333333333334,3.073333333333333,1.376666666666667,1.645,1.4016666,3.4933333,3.0450001,2.8816667,4.0250001,4.1466665,4.1683335
2111,1.25,1.5,3.123333333333334,4.566666666666666,4.253333333333333,1.99,1.416666666666667,3.906666666666667,3.416666666666667,2.913333333333334,3.243333333333334,2.126666666666666,2.176666666666666,4.21,2.32,1.1,1.6266667,1.6,3.9966667,3.8,3.4666667,4.29,4.4500003,3.8400002
2112,1.125,1.81,3.125,4.335,3.85,1.545,1.6,4.12,3.645,3.05,3.05,2.595,2.565,4.23,2.775,1.18,2.0799999,1.58,4.0950003,3.3499999,3.6300001,4.4250002,4.6100001,4.0999999
2113,1.123333333333333,2.29,3,4.463333333333334,3.966666666666667,2.586666666666666,1.823333333333333,3.93,3.54,2.983333333333333,2.88,2.85,2.426666666666667,4.346666666666667,2.98,1.743333333333333,1.9533333,1.4733334,3.8199999,4.2666669,2.5866666,3.8433332,3.8600001,3.29
2114,1.666666666666667,1.956666666666667,3,4.600000000000001,4.09,1.97,2.2,4.033333333333334,3.67,3.243333333333334,3.116666666666667,2.41,2.2,4.053333333333334,2.773333333333333,1.386666666666667,1.98,1.5433334,4.0666666,3.4933333,3.4733334,3.8966665,4.1733332,3.8133335
2120,1.024,1.175,2.865,4.75,4.031000000000001,1.272,1.036,4.245,3.626,3.082,2.927,1.936,2.404,4.48,2.693,1.049,1.7969999,1.522,4.237,4.289,4.4390001,4.842,4.9489999,4.8010001
2131,1.301944444444444,1.929722222222222,3.17,4.575833333333334,3.996388888888889,2.522222222222223,2.048611111111111,4.22138888888889,3.859444444444444,3.370833333333334,3.308333333333333,2.723611111111111,2.602222222222222,4.430277777777778,3.111944444444445,1.554444444444445,1.7263889,1.3119445,3.6605556,3.4858334,3.0119445,3.688889,4.1908331,3.9655554
2132,2.25,2,3.336666666666666,4.043333333333333,3.593333333333334,2.456666666666667,3.043333333333333,3.896666666666667,4.27,3.146666666666667,3.25,2.433333333333334,2.346666666666666,3.75,2.796666666666667,1.223333333333333,1.5333333,1.3933333,3.4466667,2.4166665,3.2833333,3.5,4.1733332,4.1399999
2133,1.892916666666667,1.895,3.284583333333333,3.882916666666667,3.850000000000001,1.914166666666667,2.674166666666667,4.040416666666666,4.0675,2.920416666666667,2.897916666666667,2.286666666666666,2.32125,3.72375,2.65125,1.245,1.7191666,1.3275001,3.7012501,2.4933333,3.1370833,3.6291666,4.2833333,4.2787499
2141,1.47,1.5,3.125,4.1975,3.69,2.7025,1.765,3.7275,3.8275,2.7925,2.9725,2.345,2.1825,4.25,3.0525,1.6825,1.8099999,1.2474999,3.9200001,4.27,2.4200001,3.8824999,3.9400001,3.98
2142,1.706666666666667,1.29,3,4.13,3.746666666666667,1.746666666666667,2.223333333333333,3.476666666666667,3.976666666666667,3.736666666666667,3.64,2.153333333333333,2.166666666666667,4.073333333333333,2.8,1.41,2.04,1.27,3.8066666,3.1399999,2.5699999,4.2066665,4.3666668,4.2800002
2143,1.12,1,3.12,4.29,3.62,2.14,2.45,3.86,3.86,3.43,3.27,1.86,1.81,3.5,2.14,1.29,2.23,1.36,3.6400001,2.8599999,2.5699999,4.1399999,3.6700001,3.5699999
2144,1.483333333333333,1.66,3.0575,4.26,4.0275,2.4475,2.304166666666667,3.664166666666667,3.664166666666667,3.015,3.011666666666667,2.47,2.194166666666667,4.176666666666668,2.7275,1.646666666666667,1.865,1.28,3.8800001,4.0858335,2.45,3.9475,3.6991668,3.7024999
2145,1.12,1.12,3,4.68,4.09,2.5,1.64,3.82,3.5,3.14,3.09,2.15,2,4.27,2.45,1.27,1.86,1.1799999,3.95,4.23,2.5,4.5,4.0500002,4
2146,1.28,1.625,3.125,4.5,4.0675,2.37,1.76,3.885,3.775,3.39,3.105,2.42,2.0525,4.06,2.7625,1.7825,1.745,1.2325001,3.79,4.1950002,2.5675001,4.1324997,4.0825,3.9024999
2149,1.217,1.85325,3.04575,4.276249999999999,3.866750000000001,2.5895,1.85125,3.744,3.6245,3.22575,3.1695,2.27725,2.0235,4.199250000000001,2.52575,1.54975,2.05375,1.353,3.8167498,3.94275,2.14575,3.9102502,3.76875,3.5402501
2151,1.12,2,3.12,4.15,3.73,2.42,2.01,3.45,3.51,2.68,2.42,1.91,2.19,4.27,2.85,1.33,1.9299999,1.33,3.4100001,4.21,2.5799999,4.0100002,3.98,2.8699999
2152,1.06,2.2775,2.94,3.905,4.21,2.5175,1.535,3.5125,3.5025,2.46,2.655,2.7625,2.4475,4.327500000000001,3.0575,1.4625,1.965,1.2875,3.9949999,4.4875002,2.8499999,4.1199999,4.1824999,2.7525001
2153,1.12,2.435,3,3.81,4.18,2.795,1.66,3.405,3.775,2.24,2.41,2.885,2.295,4.245,3.215,1.545,1.74,1.3050001,3.9899998,4.2049999,2.6100001,4.0100002,4.1849999,2.915
2161,2.12,2,3.12,3.48,4.63,1.7,1.44,3.62,4.04,3.73,3.44,3.15,3.3,4.44,3.37,1.38,2.1500001,1.33,3.7,2.6300001,2.48,4.04,4.6300001,4.48
2162,1.38,2,3.5,3.43,4.79,2.11,2.14,3.64,4.07,3.75,3.43,2.61,2.67,4.14,3.21,1.57,1.9299999,1.4299999,3.6800001,2.04,2.6800001,3.96,4.7399998,4.48
2163,1.38,2.375,3.5,3.085,4.395,2.385,1.705,3.385,4.195,3.235,2.93,3.49,2.89,4.25,2.94,1.39,1.765,1.46,4.0500002,3.4949999,2.7249999,4.0100002,4.3000002,4.1499996
2164,1.88,1,3.38,4.25,4.33,1.42,1.69,4.06,4.43,3.83,3.69,1.77,1.89,3.58,2.08,1.14,2.0599999,1.17,3.74,1.47,4.0599999,4.4699998,5,4.8099999
2165,2.0325,2.5,3,4.2375,3.5575,2.705,2.5525,3.635,3.695,2.9375,2.86,3.96,3.115,4.7925,3.7125,1.425,2.1700001,1.4325,3.925,2.4974999,2.865,3.5825,3.8075001,3.1499999
2166,1,2.25,3,3.3,4.795,2.36,1.25,3.415,3.89,2.935,2.7,4.074999999999999,3.35,4.42,3.1,1.705,2.095,1.39,3.875,3.6300001,3.8899999,3.97,4.5299997,3.9100001
2221,1.032666666666667,2.665333333333333,4.024666666666667,4.037333333333333,3.486,2.832,1.646,4.078666666666667,4.399999999999999,3.519333333333333,3.713333333333333,3.239333333333333,2.667333333333334,4.689333333333333,3.35,1.483333333333333,1.5466666,1.1113334,1.12,1.8773333,2.4679999,2.944,4.1733332,3.9760001
2222,1,2.75,4.12,4.05,3.22,2.11,1.46,4.25,4.62,3.3,3.68,3.27,2.24,4.54,2.54,1.03,1.62,1.03,1.11,1.51,2.95,2.8599999,4.6500001,4.5700002
2240,1,2.875,3.56,4.22,3.35,2.725,1.715,3.69,4.055,2.72,3.02,3.755,2.77,4.69,3.62,1.775,1.755,1.15,1.52,2.325,2.52,3.1399999,3.9400001,3.8699999
2250,1.12,3,3.25,3.73,2.69,2.48,1.61,4.04,4.06,3.08,2.68,4.04,2.96,4.55,3.17,1.64,1.71,1,2.3199999,1.75,2.74,3.1600001,4.3800001,4.4299998
2261,1.2825,3.69,3.8475,3.565,3.5825,3.455,1.64,3.5025,4.2725,3.9,3.7225,4.635,3.825,4.835,3.9225,1.4375,1.24,1.0325,1.34,1.54,2.2574999,2.8724999,3.4575,3.5025001
2262,1.12,2.62,3.5,3.75,3.1,2.24,1.2,3.92,3.91,3.52,3.1,3.37,3.82,4.93,4.52,1.48,1.63,1.0599999,1.83,1.8200001,2.6199999,3.0999999,4.3000002,4.21
2263,1.12,2,3.88,4.08,4.13,2.51,2.24,4.52,4.72,2.99,3.24,1.71,2.97,3.79,3.55,1.11,1.85,1.12,1.99,1.5700001,3.5899999,3.27,4.3899999,3.96
2264,1.06,2.56,3.875,3.64,3.635,2.745,1.86,4.015000000000001,4.23,3.105,3.745,2.945,2.815,3.775,3.35,1.28,1.6800001,1.135,1.325,1.8099999,3.0149999,2.46,4.3599997,4.335
2265,1,1.12,3.88,3.82,3.36,1.78,1.57,4.35,4.48,3.57,3.91,1.91,2.24,4.09,2.36,1.39,1.61,1.09,1.6799999,1.64,3.6800001,4.0900002,4.8299999,4.7399998
2266,1.06,1.935,3.815,3.44,3.355,2.285,1.525,3.975,3.995,2.5,3.175,2.69,2.15,4.145,2.535,1.235,1.675,1.1600001,1.83,2.2,3.0949998,3.5650001,4.2849998,3.7849998
2267,1,3.12,3.5,4.22,2.87,2.7,1.3,4,3.91,3.52,3.09,4.36,3.3,4.7,3.39,1.39,1.91,1.09,1.5,1.73,3.22,3,4.1700001,4.1300001
2269,1.176666666666667,2.3025,3.915833333333333,3.3175,3.650833333333333,2.015833333333333,1.755833333333333,3.879166666666666,4.218333333333334,3.125,3.270833333333333,3.240833333333333,2.496666666666667,3.796666666666666,2.766666666666667,1.103333333333333,1.5241666,1.1108333,1.3816667,2.1816666,3.5366666,3.2733333,4.4425001,4.4050002
2310,1.051176470588235,1.238235294117647,3.27764705882353,4.000294117647059,4.239705882352942,1.922058823529412,1.485588235294118,4.204411764705884,3.974117647058824,3.189411764705883,3.865882352941176,2.145882352941177,2.336764705882354,3.862941176470588,2.520588235294118,1.100882352941176,1.36,1.4441177,3.1047058,3.0050001,3.7782352,4.1264706,4.6202941,4.442647
2320,1.246666666666667,2.416666666666667,3.626666666666666,3.536666666666667,3.833333333333333,2.963333333333333,2.213333333333333,3.736666666666666,4.076666666666666,3.61,4.156666666666667,2.866666666666667,2.176666666666667,3.843333333333334,2.843333333333333,1.326666666666667,1.6966667,1.4,2.6166666,2.5799999,2.7666667,3.0766666,3.5833333,3.4233334
2330,1,1.38,3.88,3.65,4.28,2.13,1.57,3.64,4.21,3.04,3.96,2.15,1.78,3.6,2.48,1.12,1.64,1.29,2.5599999,3.04,3.54,3.8699999,4.6100001,4.5300002
2341,1.19,1.25,3.94,3.665,4.08,1.7,1.225,3.475,4.375,3.42,4.279999999999999,2.285,2.255,3.675,2.705,1.12,1.905,1.1500001,2.075,2.9099998,3.51,3.7550001,4.7799997,4.48
2342,1.06,1.87,3.935,2.76,3.96,1.615,1.295,2.725,4.065,3,3.31,2.825,2.615,3.37,2.23,1.14,2.2850001,1.5650001,2,2.9949999,3.665,3.45,4.8400002,4.52
2351,1,1.25,3.88,4.19,3.72,1.5,1.67,3.76,4.63,3.44,4.14,1.61,2.22,3.26,2.69,1,1.89,1.05,2.71,2.78,3.6400001,3.8900001,4.6999998,4.6100001
2352,1.5,2.56,3.94,3.29,3.73,1.655,1.705,3.475,4.105,3.225,3.685,2.73,2.805,2.99,2.3,1.085,1.9299999,1.095,1.635,2.8899999,3.27,2.6550002,4.5500002,4.6500001
2353,1.06,1.44,3.31,2.935,4.12,1.725,1.595,4.13,3.9,2.53,4.285,2.63,2.125,3.72,2.8,1.18,1.63,1.465,3.02,2.8000002,3.5149999,3.9649999,4.4200001,4.4949999
2354,1.12,1.88,3.12,3.02,4.12,1.61,1.79,4.28,4.12,2.72,4.74,2.92,1.89,3.56,2.9,1.27,1.63,1.34,3.01,2.97,3.3699999,3.5599999,4.2600002,4.7199998
2355,1.12,1.88,3.12,3.02,4.12,1.61,1.79,4.28,4.12,2.72,4.74,2.92,1.89,3.56,2.9,1.27,1.63,1.34,3.01,2.97,3.3699999,3.5599999,4.2600002,4.7199998
2356,1.12,1.12,4,4.14,4.5,1.56,1.22,4.33,4.67,3.29,4.33,1.94,2.03,3.75,2.36,1.03,2,1.34,3.3299999,3.6700001,3.6099999,4.1399999,4.9200001,4.75
2359,1,1.62,4.25,3.5,3.64,1.49,1.44,3.99,4.54,3.19,4.02,2.13,1.92,2.9,2.38,1,1.73,1.01,1.46,2.1300001,4.23,4.5799999,4.79,4.6799998
2411,1,1.356666666666667,3.02,4.256666666666667,2.986666666666666,1.72,1.3,3.673333333333333,3.97,2.94,3.003333333333333,2.59,2.856666666666667,4.69,4.06,1.253333333333334,1.9033333,1.3866667,3.5266666,3.6533334,4.1300001,4.3233333,4.8066669,4.6566668
2412,1,1,3.62,4.26,3.39,1.13,1.26,4.09,4.65,3,3.14,2.04,2.35,4.26,3.09,1,1.74,1.55,2.74,2.3,4.6500001,4.9099998,4.9099998,4.7800002
2413,1,1.37,3.31,4.585,2.515,1.42,1.33,3.74,3.92,2.935,3.17,1.54,2.57,4.25,3.4,1.135,2.105,1.27,4.2600002,4.2049999,4.3499999,4.7650003,5,4.9299998
2421,1.02,1.146666666666667,3.563333333333333,4.458333333333334,3.865,1.543333333333333,1.493333333333333,4.173333333333333,4.27,3.488333333333333,3.616666666666666,1.735,2.223333333333334,4.061666666666667,2.805,1.358333333333333,1.8816667,1.5550001,3.6616666,3.8033333,3.5916667,4.4650002,4.6583333,4.5433331
2422,1.08,1.126666666666667,3.206666666666667,3.870000000000001,3.603333333333333,1.666666666666667,1.446666666666667,3.343333333333334,4.093333333333333,3.053333333333333,3.033333333333333,1.806666666666667,2.22,3.766666666666667,2.733333333333333,1.13,1.8466667,1.6833334,3.6866667,3.4000001,3.5966666,4.2466664,4.79,4.5933332
2423,1,1.375,3.6575,3.8325,3.595,1.625,1.425,3.8025,4.3725,3.075,3.5075,2.4175,2.68,3.9225,3.075,1.025,1.6025,1.2825,2.75,3.2474999,4.3099999,4.415,4.8474998,4.7449999
2424,1.12,1.12,4,4.14,4.5,1.56,1.22,4.33,4.67,3.29,4.33,1.94,2.03,3.75,2.36,1.03,2,1.34,3.3299999,3.6700001,3.6099999,4.1399999,4.9200001,4.75
2431,1,1.405,3.12,4.0625,4.449999999999999,1.545,1.1825,3.8625,3.8425,2.6175,2.625,2.5225,2.775,4.047499999999999,3.05,1.14,1.575,2.0700002,4.3600001,3.4425001,4.3850002,4.6324997,4.8899999,4.5150003
2432,1,1.12,4,3.42,4.46,1.25,1.61,4,4.43,3.5,3.38,1.87,2.62,4.21,2.17,1,1.92,1.25,3.4200001,2.04,4.1199999,4.5,4.8299999,4.5799999
2433,1.185,1.345,3.785,3.3625,3.1525,2.1325,2.2725,3,3.75,3.17,3.275,2.49,2.7375,4.262499999999999,3.215,1.615,1.5749999,1.225,3.4624999,3.2725,3.5124998,3.9400001,4.4324999,4.2674999
2434,1.123333333333333,1.563333333333333,3.856666666666667,3.568333333333333,3.421666666666667,2.061666666666667,2.268333333333333,3.186666666666667,3.986666666666667,2.956666666666667,3.126666666666667,2.68,2.745,4.001666666666666,3.086666666666666,1.466666666666667,1.7033333,1.2866666,3.5016665,3.3150001,3.4516666,3.96,4.3683333,4.2950001
2611,1,1.38,3.75,4.1,3.69,1.77,1.34,4.4,4.21,2.79,2.45,2.53,3.6,4.58,3.19,1,1.9299999,1.08,3.4000001,2.5799999,3.6600001,4.5799999,4.71,4.1100001
